run_id,batch_id,condition,n_agents,trial,contamination_rate,avg_context_tokens,p95_context_tokens,n_steering_responses
gaia_b01_n3_dacs_t01_f06253,gaia_b01_n3,dacs,3,1,1.0,193.33333333333334,219,3
gaia_b01_n3_baseline_t01_21bf73,gaia_b01_n3,baseline,3,1,1.0,283.6666666666667,351,3
gaia_b01_n3_dacs_t01_fda5a3,gaia_b01_n3,dacs,3,1,0.6666666666666666,195.33333333333334,222,3
gaia_b01_n3_dacs_t02_a5e6cd,gaia_b01_n3,dacs,3,2,0.6666666666666666,199.33333333333334,236,3
gaia_b01_n3_dacs_t01_606a28,gaia_b01_n3,dacs,3,1,1.0,194.66666666666666,215,3
gaia_b01_n3_dacs_t03_90dec6,gaia_b01_n3,dacs,3,3,0.3333333333333333,192,213,3
gaia_b01_n3_dacs_t02_2e95d0,gaia_b01_n3,dacs,3,2,1.0,195,226,3
gaia_b01_n3_dacs_t04_e0083a,gaia_b01_n3,dacs,3,4,1.0,213.33333333333334,232,3
gaia_b01_n3_dacs_t03_0997c8,gaia_b01_n3,dacs,3,3,0.6666666666666666,215,227,3
gaia_b01_n3_dacs_t05_a92ac4,gaia_b01_n3,dacs,3,5,0.6666666666666666,199,218,3
gaia_b01_n3_baseline_t01_1871e6,gaia_b01_n3,baseline,3,1,1.0,281,337,3
gaia_b01_n3_dacs_t04_c38f9a,gaia_b01_n3,dacs,3,4,0.6666666666666666,210.66666666666666,220,3
gaia_b01_n3_baseline_t02_a45506,gaia_b01_n3,baseline,3,2,1.0,294.6666666666667,345,3
gaia_b01_n3_dacs_t05_91c8b2,gaia_b01_n3,dacs,3,5,0.6666666666666666,193.66666666666666,221,3
gaia_b01_n3_baseline_t01_d5b3ef,gaia_b01_n3,baseline,3,1,0.6666666666666666,319.6666666666667,399,3
gaia_b01_n3_baseline_t03_097afd,gaia_b01_n3,baseline,3,3,0.6666666666666666,307.6666666666667,354,3
gaia_b01_n3_baseline_t02_018738,gaia_b01_n3,baseline,3,2,0.6666666666666666,284,335,3
gaia_b01_n3_baseline_t04_045491,gaia_b01_n3,baseline,3,4,1.0,280,331,3
gaia_b01_n3_baseline_t03_987523,gaia_b01_n3,baseline,3,3,1.0,287.3333333333333,352,3
gaia_b01_n3_baseline_t05_1c5126,gaia_b01_n3,baseline,3,5,1.0,280.3333333333333,349,3
gaia_b01_n3_baseline_t04_371127,gaia_b01_n3,baseline,3,4,1.0,272,330,3
gaia_b02_n3_dacs_t01_0c9759,gaia_b02_n3,dacs,3,1,1.0,192,217,3
gaia_b01_n3_baseline_t05_7f4b7f,gaia_b01_n3,baseline,3,5,1.0,273,335,3
gaia_b02_n3_dacs_t02_690e4d,gaia_b02_n3,dacs,3,2,0.6666666666666666,178,202,3
gaia_b02_n3_dacs_t01_b25eb5,gaia_b02_n3,dacs,3,1,1.0,192.33333333333334,219,3
gaia_b02_n3_dacs_t03_8bd652,gaia_b02_n3,dacs,3,3,1.0,202,218,3
gaia_b02_n3_dacs_t02_53626b,gaia_b02_n3,dacs,3,2,0.6666666666666666,181.33333333333334,188,3
gaia_b02_n3_dacs_t04_e44c4a,gaia_b02_n3,dacs,3,4,1.0,180,202,3
gaia_b02_n3_dacs_t03_54f4ca,gaia_b02_n3,dacs,3,3,1.0,197.66666666666666,211,3
gaia_b02_n3_dacs_t05_449dd5,gaia_b02_n3,dacs,3,5,1.0,200.33333333333334,210,3
gaia_b02_n3_dacs_t04_f5fea3,gaia_b02_n3,dacs,3,4,0.6666666666666666,201.66666666666666,207,3
gaia_b02_n3_dacs_t05_d5f11a,gaia_b02_n3,dacs,3,5,0.6666666666666666,189,205,3
gaia_b02_n3_baseline_t02_5ed8e2,gaia_b02_n3,baseline,3,2,1.0,257.6666666666667,313,3
gaia_b02_n3_baseline_t01_e9ac01,gaia_b02_n3,baseline,3,1,1.0,280,333,3
gaia_b02_n3_baseline_t01_e61225,gaia_b02_n3,baseline,3,1,1.0,271.6666666666667,323,3
gaia_b02_n3_baseline_t02_70fd67,gaia_b02_n3,baseline,3,2,1.0,271,310,3
gaia_b02_n3_baseline_t04_4490a3,gaia_b02_n3,baseline,3,4,1.0,268.3333333333333,318,3
gaia_b02_n3_baseline_t03_4909ba,gaia_b02_n3,baseline,3,3,1.0,261.3333333333333,311,3
gaia_b02_n3_baseline_t03_2c31a0,gaia_b02_n3,baseline,3,3,1.0,279.6666666666667,333,3
gaia_b02_n3_baseline_t04_f73a0c,gaia_b02_n3,baseline,3,4,0.6666666666666666,283,335,3
gaia_b02_n3_baseline_t05_06875a,gaia_b02_n3,baseline,3,5,1.0,271.3333333333333,327,3
gaia_b03_n3_dacs_t01_71048e,gaia_b03_n3,dacs,3,1,0.6666666666666666,194.66666666666666,215,3
gaia_b03_n3_dacs_t02_cebb67,gaia_b03_n3,dacs,3,2,1.0,192,216,3
gaia_b03_n3_dacs_t01_b21e7d,gaia_b03_n3,dacs,3,1,1.0,195.33333333333334,211,3
gaia_b02_n3_baseline_t05_1c8019,gaia_b02_n3,baseline,3,5,1.0,268,327,3
gaia_b03_n3_dacs_t03_d0aa0f,gaia_b03_n3,dacs,3,3,0.6666666666666666,200,222,3
gaia_b03_n3_dacs_t02_2a8c95,gaia_b03_n3,dacs,3,2,0.6666666666666666,187.66666666666666,204,3
gaia_b03_n3_dacs_t03_c2bd7a,gaia_b03_n3,dacs,3,3,1.0,198.33333333333334,230,3
gaia_b03_n3_dacs_t05_4157e3,gaia_b03_n3,dacs,3,5,0.6666666666666666,190.33333333333334,224,3
gaia_b03_n3_dacs_t04_d49b67,gaia_b03_n3,dacs,3,4,1.0,202,214,3
gaia_b03_n3_dacs_t04_2cab93,gaia_b03_n3,dacs,3,4,1.0,185,211,3
gaia_b03_n3_baseline_t02_7fc75a,gaia_b03_n3,baseline,3,2,1.0,264.6666666666667,334,3
gaia_b03_n3_baseline_t01_f56db7,gaia_b03_n3,baseline,3,1,1.0,290,353,3
gaia_b03_n3_dacs_t05_bd165b,gaia_b03_n3,dacs,3,5,1.0,191.66666666666666,230,3
gaia_b03_n3_baseline_t01_38c4b5,gaia_b03_n3,baseline,3,1,1.0,293.3333333333333,364,3
gaia_b03_n3_baseline_t03_29cab8,gaia_b03_n3,baseline,3,3,1.0,296,358,3
gaia_b03_n3_baseline_t02_44c7be,gaia_b03_n3,baseline,3,2,1.0,278,333,3
gaia_b03_n3_baseline_t04_eb20fa,gaia_b03_n3,baseline,3,4,1.0,271.3333333333333,332,3
gaia_b03_n3_baseline_t05_9d1cbf,gaia_b03_n3,baseline,3,5,1.0,281.6666666666667,329,3
gaia_b03_n3_baseline_t03_011438,gaia_b03_n3,baseline,3,3,1.0,268.6666666666667,317,3
gaia_b03_n3_baseline_t04_e3738e,gaia_b03_n3,baseline,3,4,1.0,274,327,3
gaia_b04_n3_dacs_t01_2cc274,gaia_b04_n3,dacs,3,1,0.6666666666666666,228,245,3
gaia_b04_n3_dacs_t02_5580c2,gaia_b04_n3,dacs,3,2,0.6666666666666666,222.33333333333334,245,3
gaia_b04_n3_dacs_t01_d78c45,gaia_b04_n3,dacs,3,1,1.0,214.66666666666666,272,3
gaia_b03_n3_baseline_t05_c2055c,gaia_b03_n3,baseline,3,5,1.0,271.3333333333333,325,3
gaia_b04_n3_dacs_t03_ac6274,gaia_b04_n3,dacs,3,3,1.0,258.3333333333333,310,3
gaia_b04_n3_dacs_t04_fe7977,gaia_b04_n3,dacs,3,4,1.0,200.33333333333334,234,3
gaia_b04_n3_dacs_t03_008bc2,gaia_b04_n3,dacs,3,3,1.0,217.33333333333334,240,3
gaia_b04_n3_dacs_t02_94142a,gaia_b04_n3,dacs,3,2,0.6666666666666666,213,259,3
gaia_b04_n3_dacs_t05_2b1bdd,gaia_b04_n3,dacs,3,5,0.6666666666666666,229.33333333333334,273,3
gaia_b04_n3_dacs_t04_6eb7ea,gaia_b04_n3,dacs,3,4,1.0,213.33333333333334,256,3
gaia_b04_n3_dacs_t05_fd9866,gaia_b04_n3,dacs,3,5,1.0,241.33333333333334,246,3
gaia_b04_n3_baseline_t01_5ba969,gaia_b04_n3,baseline,3,1,1.0,307.6666666666667,398,3
gaia_b04_n3_baseline_t02_9ebb39,gaia_b04_n3,baseline,3,2,1.0,275.6666666666667,352,3
gaia_b04_n3_baseline_t01_799df7,gaia_b04_n3,baseline,3,1,1.0,334,383,3
gaia_b04_n3_baseline_t03_e07c73,gaia_b04_n3,baseline,3,3,1.0,319,402,3
gaia_b04_n3_baseline_t02_cd867e,gaia_b04_n3,baseline,3,2,1.0,323.3333333333333,412,3
gaia_b04_n3_baseline_t04_890d27,gaia_b04_n3,baseline,3,4,1.0,340.6666666666667,403,3
gaia_b04_n3_baseline_t03_148f4e,gaia_b04_n3,baseline,3,3,1.0,338.3333333333333,386,3
gaia_b04_n3_baseline_t05_29ff3a,gaia_b04_n3,baseline,3,5,1.0,323.3333333333333,407,3
gaia_b04_n3_baseline_t04_f121fc,gaia_b04_n3,baseline,3,4,1.0,305,368,3
gaia_b04_n3_baseline_t05_5e9669,gaia_b04_n3,baseline,3,5,1.0,348,415,3
gaia_b05_n3_dacs_t01_7e1036,gaia_b05_n3,dacs,3,1,0.6666666666666666,209.33333333333334,229,3
gaia_b05_n3_dacs_t01_7fc93e,gaia_b05_n3,dacs,3,1,1.0,210.33333333333334,251,3
gaia_b05_n3_dacs_t02_f75de7,gaia_b05_n3,dacs,3,2,0.6666666666666666,215.33333333333334,231,3
gaia_b05_n3_dacs_t02_59b020,gaia_b05_n3,dacs,3,2,0.6666666666666666,222.33333333333334,260,3
gaia_b05_n3_dacs_t03_8d508e,gaia_b05_n3,dacs,3,3,0.6666666666666666,204,227,3
gaia_b05_n3_dacs_t04_8e488a,gaia_b05_n3,dacs,3,4,0.6666666666666666,204.33333333333334,210,3
gaia_b05_n3_dacs_t04_1d3db6,gaia_b05_n3,dacs,3,4,0.6666666666666666,208,226,3
gaia_b05_n3_dacs_t03_141589,gaia_b05_n3,dacs,3,3,1.0,201,209,3
gaia_b05_n3_dacs_t05_e2cb47,gaia_b05_n3,dacs,3,5,1.0,214.66666666666666,237,3
gaia_b05_n3_baseline_t01_722b21,gaia_b05_n3,baseline,3,1,1.0,277.3333333333333,334,3
gaia_b05_n3_baseline_t02_1fce88,gaia_b05_n3,baseline,3,2,1.0,315.6666666666667,365,3
gaia_b05_n3_dacs_t05_426e61,gaia_b05_n3,dacs,3,5,1.0,210.33333333333334,229,3
gaia_b05_n3_baseline_t01_97d5a3,gaia_b05_n3,baseline,3,1,1.0,295.3333333333333,370,3
gaia_b05_n3_baseline_t03_231aca,gaia_b05_n3,baseline,3,3,1.0,287.6666666666667,353,3
gaia_b05_n3_baseline_t04_6eaa9b,gaia_b05_n3,baseline,3,4,1.0,292.6666666666667,375,3
gaia_b05_n3_baseline_t02_6c1041,gaia_b05_n3,baseline,3,2,1.0,301.6666666666667,375,3
gaia_b05_n3_baseline_t03_43a43f,gaia_b05_n3,baseline,3,3,1.0,309,374,3
gaia_b05_n3_baseline_t05_191a3b,gaia_b05_n3,baseline,3,5,1.0,295,366,3
gaia_b05_n3_baseline_t04_492fcb,gaia_b05_n3,baseline,3,4,1.0,313.3333333333333,372,3
gaia_b06_n3_dacs_t01_523197,gaia_b06_n3,dacs,3,1,0.3333333333333333,175.33333333333334,199,3
gaia_b05_n3_baseline_t05_14bab8,gaia_b05_n3,baseline,3,5,1.0,324.6666666666667,392,3
gaia_b06_n3_dacs_t01_56e8d1,gaia_b06_n3,dacs,3,1,0.6666666666666666,189.66666666666666,209,3
gaia_b06_n3_dacs_t02_4b4e24,gaia_b06_n3,dacs,3,2,1.0,195.33333333333334,207,3
gaia_b06_n3_dacs_t03_62ebae,gaia_b06_n3,dacs,3,3,0.6666666666666666,190.33333333333334,229,3
gaia_b06_n3_dacs_t02_013e1d,gaia_b06_n3,dacs,3,2,1.0,192,225,3
gaia_b06_n3_dacs_t03_4ff3ea,gaia_b06_n3,dacs,3,3,0.6666666666666666,191.66666666666666,225,3
gaia_b06_n3_dacs_t05_2c619f,gaia_b06_n3,dacs,3,5,1.0,180.33333333333334,197,3
gaia_b06_n3_dacs_t04_267f16,gaia_b06_n3,dacs,3,4,0.6666666666666666,200.33333333333334,210,3
gaia_b06_n3_dacs_t04_304b4e,gaia_b06_n3,dacs,3,4,0.6666666666666666,167.33333333333334,200,3
gaia_b06_n3_baseline_t01_63ab69,gaia_b06_n3,baseline,3,1,1.0,288.3333333333333,341,3
gaia_b06_n3_dacs_t05_3bda44,gaia_b06_n3,dacs,3,5,0.6666666666666666,167,198,3
gaia_b06_n3_baseline_t02_f0c8ff,gaia_b06_n3,baseline,3,2,1.0,266,325,3
gaia_b06_n3_baseline_t01_8f5783,gaia_b06_n3,baseline,3,1,1.0,269.3333333333333,321,3
gaia_b06_n3_baseline_t02_fed7cf,gaia_b06_n3,baseline,3,2,1.0,264,311,3
gaia_b06_n3_baseline_t03_d7a1a5,gaia_b06_n3,baseline,3,3,1.0,285.3333333333333,340,3
gaia_b06_n3_baseline_t03_ca5b52,gaia_b06_n3,baseline,3,3,1.0,271,315,3
gaia_b06_n3_baseline_t04_a2dbb4,gaia_b06_n3,baseline,3,4,1.0,356.5,644,4
gaia_b06_n3_baseline_t04_dd4130,gaia_b06_n3,baseline,3,4,1.0,262.3333333333333,313,3
gaia_b06_n3_baseline_t05_429322,gaia_b06_n3,baseline,3,5,1.0,292.3333333333333,347,3
gaia_b07_n3_dacs_t01_6883d2,gaia_b07_n3,dacs,3,1,1.0,189.33333333333334,210,3
gaia_b06_n3_baseline_t05_548675,gaia_b06_n3,baseline,3,5,1.0,288.3333333333333,340,3
gaia_b07_n3_dacs_t01_5e148d,gaia_b07_n3,dacs,3,1,1.0,198.33333333333334,218,3
gaia_b07_n3_dacs_t02_32d8a7,gaia_b07_n3,dacs,3,2,1.0,187,209,3
gaia_b07_n3_dacs_t02_88fe2b,gaia_b07_n3,dacs,3,2,0.6666666666666666,207.33333333333334,218,3
gaia_b07_n3_dacs_t03_bdcaed,gaia_b07_n3,dacs,3,3,1.0,186,207,3
gaia_b07_n3_dacs_t03_bc9982,gaia_b07_n3,dacs,3,3,0.6666666666666666,167.66666666666666,197,3
gaia_b07_n3_dacs_t04_9df2c3,gaia_b07_n3,dacs,3,4,1.0,187.33333333333334,219,3
gaia_b07_n3_dacs_t04_17f60c,gaia_b07_n3,dacs,3,4,0.3333333333333333,188.66666666666666,212,3
gaia_b07_n3_dacs_t05_127702,gaia_b07_n3,dacs,3,5,1.0,178.33333333333334,191,3
gaia_b07_n3_dacs_t05_5c950f,gaia_b07_n3,dacs,3,5,1.0,190.33333333333334,212,3
gaia_b07_n3_baseline_t02_003682,gaia_b07_n3,baseline,3,2,1.0,298,350,3
gaia_b07_n3_baseline_t01_f632e7,gaia_b07_n3,baseline,3,1,1.0,257.3333333333333,310,3
gaia_b07_n3_baseline_t01_a37a63,gaia_b07_n3,baseline,3,1,1.0,270,314,3
gaia_b07_n3_baseline_t02_3ee681,gaia_b07_n3,baseline,3,2,1.0,276.3333333333333,337,3
gaia_b07_n3_baseline_t03_89a745,gaia_b07_n3,baseline,3,3,1.0,280.3333333333333,332,3
gaia_b07_n3_baseline_t03_0cf604,gaia_b07_n3,baseline,3,3,1.0,277,333,3
gaia_b07_n3_baseline_t04_0d88cf,gaia_b07_n3,baseline,3,4,1.0,275.3333333333333,339,3
gaia_b07_n3_baseline_t04_7d574b,gaia_b07_n3,baseline,3,4,1.0,277.6666666666667,330,3
gaia_b07_n3_baseline_t05_66b5c8,gaia_b07_n3,baseline,3,5,1.0,280.3333333333333,341,3
gaia_b07_n3_baseline_t05_625f37,gaia_b07_n3,baseline,3,5,1.0,263.3333333333333,307,3
gaia_b08_n3_dacs_t01_2deb8d,gaia_b08_n3,dacs,3,1,1.0,200.66666666666666,242,3
gaia_b08_n3_dacs_t01_9f7d7d,gaia_b08_n3,dacs,3,1,0.6666666666666666,196,229,3
gaia_b08_n3_dacs_t02_86be69,gaia_b08_n3,dacs,3,2,0.0,188.66666666666666,203,3
gaia_b08_n3_dacs_t03_277072,gaia_b08_n3,dacs,3,3,0.6666666666666666,171,194,3
gaia_b08_n3_dacs_t03_1f1192,gaia_b08_n3,dacs,3,3,1.0,208.66666666666666,220,3
gaia_b08_n3_dacs_t02_640982,gaia_b08_n3,dacs,3,2,1.0,200.66666666666666,242,3
gaia_b08_n3_dacs_t04_8ba7a9,gaia_b08_n3,dacs,3,4,1.0,199,237,3
gaia_b08_n3_dacs_t05_e8f681,gaia_b08_n3,dacs,3,5,0.6666666666666666,184.66666666666666,223,3
gaia_b08_n3_dacs_t04_5fd4d8,gaia_b08_n3,dacs,3,4,1.0,195.33333333333334,228,3
gaia_b08_n3_dacs_t05_628f3a,gaia_b08_n3,dacs,3,5,1.0,200.33333333333334,202,3
gaia_b08_n3_baseline_t01_4c5d06,gaia_b08_n3,baseline,3,1,1.0,289,346,3
gaia_b08_n3_baseline_t01_e45d62,gaia_b08_n3,baseline,3,1,1.0,288,335,3
gaia_b08_n3_baseline_t02_ca1bfa,gaia_b08_n3,baseline,3,2,1.0,306,361,3
gaia_b08_n3_baseline_t02_796cbf,gaia_b08_n3,baseline,3,2,1.0,307,369,3
gaia_b08_n3_baseline_t03_31f872,gaia_b08_n3,baseline,3,3,1.0,400,768,4
gaia_b08_n3_baseline_t03_83ca15,gaia_b08_n3,baseline,3,3,1.0,291.6666666666667,358,3
gaia_b08_n3_baseline_t04_af4bd3,gaia_b08_n3,baseline,3,4,1.0,278.3333333333333,336,3
gaia_b08_n3_baseline_t04_b18e83,gaia_b08_n3,baseline,3,4,0.6666666666666666,286.6666666666667,341,3
gaia_b08_n3_baseline_t05_ffc88c,gaia_b08_n3,baseline,3,5,1.0,287.6666666666667,337,3
gaia_b08_n3_baseline_t05_f70770,gaia_b08_n3,baseline,3,5,1.0,274,326,3
gaia_b09_n3_dacs_t01_a6ed00,gaia_b09_n3,dacs,3,1,1.0,189.66666666666666,212,3
gaia_b09_n3_dacs_t01_75a11c,gaia_b09_n3,dacs,3,1,0.6666666666666666,200.33333333333334,241,3
gaia_b09_n3_dacs_t03_6e212f,gaia_b09_n3,dacs,3,3,1.0,199.33333333333334,209,3
gaia_b09_n3_dacs_t03_859731,gaia_b09_n3,dacs,3,3,1.0,206.33333333333334,217,3
gaia_b09_n3_dacs_t02_a013cc,gaia_b09_n3,dacs,3,2,0.3333333333333333,158.33333333333334,186,3
gaia_b09_n3_dacs_t04_3efa0d,gaia_b09_n3,dacs,3,4,1.0,184.33333333333334,196,3
gaia_b09_n3_dacs_t05_6934c0,gaia_b09_n3,dacs,3,5,1.0,188,205,3
gaia_b09_n3_dacs_t04_ac5718,gaia_b09_n3,dacs,3,4,1.0,191,218,3
gaia_b09_n3_dacs_t02_370536,gaia_b09_n3,dacs,3,2,0.3333333333333333,179.33333333333334,214,3
gaia_b09_n3_baseline_t01_533517,gaia_b09_n3,baseline,3,1,1.0,275,348,3
gaia_b09_n3_dacs_t05_0908e8,gaia_b09_n3,dacs,3,5,0.3333333333333333,201,240,3
gaia_b09_n3_baseline_t02_8b1873,gaia_b09_n3,baseline,3,2,1.0,285,337,3
gaia_b09_n3_baseline_t01_b9fded,gaia_b09_n3,baseline,3,1,1.0,289.3333333333333,349,3
gaia_b09_n3_baseline_t02_c801be,gaia_b09_n3,baseline,3,2,1.0,271,321,3
gaia_b09_n3_baseline_t03_ca6b97,gaia_b09_n3,baseline,3,3,0.6666666666666666,285.3333333333333,352,3
gaia_b09_n3_baseline_t04_9a1ad6,gaia_b09_n3,baseline,3,4,1.0,286.3333333333333,336,3
gaia_b09_n3_baseline_t03_6b4389,gaia_b09_n3,baseline,3,3,1.0,278.6666666666667,327,3
gaia_b09_n3_baseline_t04_7868ac,gaia_b09_n3,baseline,3,4,1.0,281.3333333333333,338,3
gaia_b10_n3_dacs_t01_e13e14,gaia_b10_n3,dacs,3,1,1.0,190,217,3
gaia_b09_n3_baseline_t05_754aea,gaia_b09_n3,baseline,3,5,1.0,286.6666666666667,351,3
gaia_b09_n3_baseline_t05_87cd81,gaia_b09_n3,baseline,3,5,1.0,282.6666666666667,344,3
gaia_b10_n3_dacs_t02_07a08e,gaia_b10_n3,dacs,3,2,1.0,198.33333333333334,229,3
gaia_b10_n3_dacs_t01_753648,gaia_b10_n3,dacs,3,1,1.0,202,220,3
gaia_b10_n3_dacs_t02_208972,gaia_b10_n3,dacs,3,2,0.6666666666666666,206.33333333333334,238,3
gaia_b10_n3_dacs_t03_2d71fc,gaia_b10_n3,dacs,3,3,1.0,210.66666666666666,229,3
gaia_b10_n3_dacs_t04_c30e0f,gaia_b10_n3,dacs,3,4,0.3333333333333333,176.66666666666666,208,3
gaia_b10_n3_dacs_t03_df405b,gaia_b10_n3,dacs,3,3,0.6666666666666666,186.33333333333334,194,3
gaia_b10_n3_dacs_t04_e45a40,gaia_b10_n3,dacs,3,4,0.6666666666666666,215.33333333333334,234,3
gaia_b10_n3_dacs_t05_fcc4c9,gaia_b10_n3,dacs,3,5,1.0,223.33333333333334,239,3
gaia_b10_n3_baseline_t01_4435a9,gaia_b10_n3,baseline,3,1,1.0,313.3333333333333,370,3
gaia_b10_n3_dacs_t05_bfbc41,gaia_b10_n3,dacs,3,5,1.0,195,217,3
gaia_b10_n3_baseline_t01_c920d5,gaia_b10_n3,baseline,3,1,1.0,264,315,3
gaia_b10_n3_baseline_t03_91d325,gaia_b10_n3,baseline,3,3,1.0,288.6666666666667,335,3
gaia_b10_n3_baseline_t01_3cb7d9,gaia_b10_n3,baseline,3,1,1.0,282,340,3
gaia_b10_n3_baseline_t02_f490c3,gaia_b10_n3,baseline,3,2,1.0,340.3333333333333,404,3
gaia_b10_n3_baseline_t04_f2392e,gaia_b10_n3,baseline,3,4,1.0,322.3333333333333,374,3
gaia_b10_n3_baseline_t03_6d9f10,gaia_b10_n3,baseline,3,3,1.0,377.75,648,4
gaia_b10_n3_baseline_t05_f45b99,gaia_b10_n3,baseline,3,5,1.0,294,352,3
