run_id,condition,scenario,log_path,m1_t5_accuracy,m1_t5_hits,m1_t5_total,contamination_rate,avg_context_tokens,n_oif_queries_fired,n_steering_responses
oif2_n5_dacs_oif_t01_78088e,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t01_78088e.jsonl,1.0,5,5,0.5333333333333333,802.7,5,15
oif2_n5_dacs_oif_t02_223edb,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t02_223edb.jsonl,1.0,5,5,0.7333333333333333,794.45,5,15
oif2_n5_dacs_oif_t03_52097a,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t03_52097a.jsonl,1.0,5,5,0.5,673.2352941176471,5,12
oif2_n5_dacs_oif_t04_4af175,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t04_4af175.jsonl,1.0,5,5,0.7272727272727273,596.625,5,11
oif2_n5_dacs_oif_t05_2f08be,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t05_2f08be.jsonl,1.0,5,5,0.5333333333333333,807.95,5,15
oif2_n5_dacs_oif_t06_634032,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t06_634032.jsonl,1.0,5,5,0.5333333333333333,796.05,5,15
oif2_n5_dacs_oif_t07_3e57a6,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t07_3e57a6.jsonl,1.0,5,5,0.3333333333333333,736.4,5,15
oif2_n5_dacs_oif_t08_209aab,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t08_209aab.jsonl,1.0,5,5,0.42857142857142855,652.9473684210526,5,14
oif2_n5_dacs_oif_t09_24ae52,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t09_24ae52.jsonl,1.0,5,5,0.5333333333333333,788.4,5,15
oif2_n5_dacs_oif_t10_d821d0,dacs_oif,oif2_n5,results_oif/oif2_n5_dacs_oif_t10_d821d0.jsonl,1.0,5,5,0.26666666666666666,766,5,15
oif2_n5_dacs_no_oif_t01_cfd017,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t01_cfd017.jsonl,0.2,1,5,0.6,751.6,0,15
oif2_n5_dacs_no_oif_t02_daf121,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t02_daf121.jsonl,0.2,1,5,0.5333333333333333,774.2,0,15
oif2_n5_dacs_no_oif_t03_897ed6,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t03_897ed6.jsonl,0.2,1,5,0.6666666666666666,740.2,0,15
oif2_n5_dacs_no_oif_t04_92867d,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t04_92867d.jsonl,0.2,1,5,0.8461538461538461,707.6923076923077,0,13
oif2_n5_dacs_no_oif_t05_50d047,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t05_50d047.jsonl,0.8,4,5,0.4,735.4,0,15
oif2_n5_dacs_no_oif_t06_31cea8,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t06_31cea8.jsonl,0.4,2,5,0.5333333333333333,757.0666666666667,0,15
oif2_n5_dacs_no_oif_t07_14ffd3,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t07_14ffd3.jsonl,0.2,1,5,0.5,714.0714285714286,0,14
oif2_n5_dacs_no_oif_t08_72d062,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t08_72d062.jsonl,0.2,1,5,0.5333333333333333,714.6666666666666,0,15
oif2_n5_dacs_no_oif_t09_d3ef27,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t09_d3ef27.jsonl,0.2,1,5,0.5333333333333333,783.3333333333334,0,15
oif2_n5_dacs_no_oif_t10_98d3a3,dacs_no_oif,oif2_n5,results_oif/oif2_n5_dacs_no_oif_t10_98d3a3.jsonl,0.2,1,5,0.4,749.6666666666666,0,15
oif2_n5_baseline_t01_db7efd,baseline,oif2_n5,results_oif/oif2_n5_baseline_t01_db7efd.jsonl,0.2,1,5,0.9230769230769231,2134.3076923076924,0,13
oif2_n5_baseline_t02_bc44cd,baseline,oif2_n5,results_oif/oif2_n5_baseline_t02_bc44cd.jsonl,0.2,1,5,0.9333333333333333,2444.6666666666665,0,15
oif2_n5_baseline_t03_d47b04,baseline,oif2_n5,results_oif/oif2_n5_baseline_t03_d47b04.jsonl,0.6,3,5,0.9333333333333333,2241.4666666666667,0,15
oif2_n5_baseline_t04_585bdd,baseline,oif2_n5,results_oif/oif2_n5_baseline_t04_585bdd.jsonl,0.2,1,5,1.0,2392.3333333333335,0,15
oif2_n5_baseline_t05_d99e50,baseline,oif2_n5,results_oif/oif2_n5_baseline_t05_d99e50.jsonl,0.2,1,5,1.0,2431.6,0,15
oif2_n5_baseline_t06_66547f,baseline,oif2_n5,results_oif/oif2_n5_baseline_t06_66547f.jsonl,0.2,1,5,0.9285714285714286,2072.285714285714,0,14
oif2_n5_baseline_t07_17f6c2,baseline,oif2_n5,results_oif/oif2_n5_baseline_t07_17f6c2.jsonl,0.2,1,5,1.0,2086.5714285714284,0,14
oif2_n5_baseline_t08_8ffcc4,baseline,oif2_n5,results_oif/oif2_n5_baseline_t08_8ffcc4.jsonl,0.6,3,5,0.9333333333333333,2238.8,0,15
oif2_n5_baseline_t09_77d157,baseline,oif2_n5,results_oif/oif2_n5_baseline_t09_77d157.jsonl,0.2,1,5,0.9333333333333333,2299.733333333333,0,15
oif2_n5_baseline_t10_9c87d8,baseline,oif2_n5,results_oif/oif2_n5_baseline_t10_9c87d8.jsonl,0.2,1,5,0.9333333333333333,2360.733333333333,0,15
oif1_n3_baseline_t01_bae1ff,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t01_bae1ff.jsonl,0.3333333333333333,1,3,0.8888888888888888,1480.888888888889,0,9
oif1_n3_baseline_t02_48e3fa,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t02_48e3fa.jsonl,0.3333333333333333,1,3,1.0,1427.6666666666667,0,9
oif1_n3_baseline_t03_4de90d,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t03_4de90d.jsonl,0.3333333333333333,1,3,0.8888888888888888,1351.5555555555557,0,9
oif1_n3_baseline_t04_0f3faf,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t04_0f3faf.jsonl,0.3333333333333333,1,3,0.8888888888888888,1433,0,9
oif1_n3_baseline_t05_e60a89,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t05_e60a89.jsonl,0.3333333333333333,1,3,1.0,1453.4444444444443,0,9
oif1_n3_baseline_t06_9e7ec3,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t06_9e7ec3.jsonl,0.3333333333333333,1,3,1.0,1489.4444444444443,0,9
oif1_n3_baseline_t07_8e61fe,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t07_8e61fe.jsonl,0.3333333333333333,1,3,0.7777777777777778,1436.6666666666667,0,9
oif1_n3_baseline_t08_40d3de,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t08_40d3de.jsonl,0.3333333333333333,1,3,1.0,1290.5555555555557,0,9
oif1_n3_baseline_t09_6c3c3a,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t09_6c3c3a.jsonl,0.3333333333333333,1,3,1.0,1420.888888888889,0,9
oif1_n3_baseline_t10_a866bc,baseline,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_baseline_t10_a866bc.jsonl,0.3333333333333333,1,3,1.0,1391.2222222222222,0,9
oif1_n3_dacs_no_oif_t01_53ce9d,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t01_53ce9d.jsonl,0.3333333333333333,1,3,0.3333333333333333,645.8888888888889,0,9
oif1_n3_dacs_no_oif_t02_99924f,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t02_99924f.jsonl,0.3333333333333333,1,3,0.8888888888888888,650.8888888888889,0,9
oif1_n3_dacs_no_oif_t03_a60010,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t03_a60010.jsonl,0.6666666666666666,2,3,0.7777777777777778,593.8888888888889,0,9
oif1_n3_dacs_no_oif_t04_addf78,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t04_addf78.jsonl,0.3333333333333333,1,3,1.0,668,0,9
oif1_n3_dacs_no_oif_t05_95af09,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t05_95af09.jsonl,0.3333333333333333,1,3,0.8888888888888888,658.5555555555555,0,9
oif1_n3_dacs_no_oif_t06_ae40e0,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t06_ae40e0.jsonl,0.3333333333333333,1,3,0.6666666666666666,637.5555555555555,0,9
oif1_n3_dacs_no_oif_t07_3a3c10,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t07_3a3c10.jsonl,0.6666666666666666,2,3,1.0,549,0,8
oif1_n3_dacs_no_oif_t08_0fbbbe,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t08_0fbbbe.jsonl,0.3333333333333333,1,3,0.7777777777777778,655,0,9
oif1_n3_dacs_no_oif_t09_560174,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t09_560174.jsonl,0.3333333333333333,1,3,0.5555555555555556,637.4444444444445,0,9
oif1_n3_dacs_no_oif_t10_1504c1,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t10_1504c1.jsonl,0.3333333333333333,1,3,0.6666666666666666,640.1111111111111,0,9
oif1_n3_dacs_oif_t01_eca02f,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t01_eca02f.jsonl,1.0,3,3,0.4444444444444444,683.3333333333334,3,9
oif1_n3_dacs_oif_t02_209ce6,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t02_209ce6.jsonl,1.0,3,3,0.6666666666666666,743.4166666666666,3,9
oif1_n3_dacs_oif_t03_a49337,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t03_a49337.jsonl,1.0,3,3,0.6666666666666666,693.0833333333334,3,9
oif1_n3_dacs_oif_t04_b0652c,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t04_b0652c.jsonl,1.0,3,3,0.6666666666666666,719.1666666666666,3,9
oif1_n3_dacs_oif_t05_36c240,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t05_36c240.jsonl,1.0,3,3,0.8888888888888888,698.4166666666666,3,9
oif1_n3_dacs_oif_t06_0be41c,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t06_0be41c.jsonl,1.0,3,3,0.5555555555555556,542.5833333333334,3,9
oif1_n3_dacs_oif_t07_82c404,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t07_82c404.jsonl,1.0,3,3,0.5555555555555556,703.25,3,9
oif1_n3_dacs_oif_t08_34d042,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t08_34d042.jsonl,1.0,3,3,0.6666666666666666,666.1666666666666,3,9
oif1_n3_dacs_oif_t09_c1e3b0,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t09_c1e3b0.jsonl,1.0,3,3,0.4444444444444444,588.9166666666666,3,9
oif1_n3_dacs_oif_t10_f0f7ac,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t10_f0f7ac.jsonl,1.0,3,3,0.6666666666666666,712.6666666666666,3,9
